50
1	1	15
1	2	15
1	3	15
1	4	15
1	5	15
1	6	15
1	7	15
1	8	15
1	9	15
1	10	15
2	1	15
2	2	15
2	3	15
2	4	15
2	5	15
2	6	15
2	7	15
2	8	15
2	9	15
2	10	15
3	1	15
3	2	15
3	3	15
3	4	15
3	5	15
3	6	15
3	7	15
3	8	15
3	9	15
3	10	15
4	1	15
4	2	15
4	3	15
4	4	15
4	5	15
4	6	15
4	7	15
4	8	15
4	9	15
4	10	15
5	1	15
5	2	15
5	3	15
5	4	15
5	5	15
5	6	15
5	7	15
5	8	15
5	9	15
5	10	15
250
1	1	1	0	110
1	2	2	110	1989
1	3	3	1989	5183
1	4	4	5183	10067
1	5	5	10067	10240
2	1	1	110	1641
2	2	2	1989	28233
2	3	3	28233	72847
2	4	4	72847	141081
2	5	5	141081	143487
3	1	1	1641	4183
3	2	2	28233	71799
3	3	3	72847	146908
3	4	4	146908	260178
3	5	5	260178	264172
4	1	1	4183	4290
4	2	2	71799	73626
4	3	3	146908	150013
4	4	4	260178	264926
4	5	5	264926	265094
5	1	1	4290	5426
5	2	2	73626	93087
5	3	3	150013	183097
5	4	4	264926	315525
5	5	5	315525	317309
6	1	1	5426	6641
6	2	2	93087	113905
6	3	3	183097	218487
6	4	4	315525	369651
6	5	5	369651	371560
7	1	1	6641	8264
7	2	2	113905	141714
7	3	3	218487	265762
7	4	4	369651	441954
7	5	5	441954	444504
8	1	1	8264	10142
8	2	2	141714	173906
8	3	3	265762	320488
8	4	4	441954	525652
8	5	5	525652	528603
9	1	1	10142	10639
9	2	2	173906	182411
9	3	3	320488	334946
9	4	4	525652	547764
9	5	5	547764	548544
10	1	1	10639	11142
10	2	2	182411	191020
10	3	3	334946	349581
10	4	4	547764	570147
10	5	5	570147	570937
11	1	1	11142	13906
11	2	2	191020	238394
11	3	3	349581	430117
11	4	4	570147	693320
11	5	5	693320	697663
12	1	1	13906	13983
12	2	2	238394	239699
12	3	3	430117	432335
12	4	4	693320	696712
12	5	5	697663	697783
13	1	1	13983	15925
13	2	2	239699	272986
13	3	3	432335	488923
13	4	4	696712	783259
13	5	5	783259	786311
14	1	1	15925	17042
14	2	2	272986	292134
14	3	3	488923	521475
14	4	4	783259	833044
14	5	5	833044	834800
15	1	1	17042	17907
15	2	2	292134	306952
15	3	3	521475	546665
15	4	4	833044	885762
15	5	5	885762	889667
16	1	1	17907	19925
16	2	2	306952	341544
16	3	3	546665	605471
16	4	4	885762	1144332
16	5	5	1144332	1153449
17	1	1	19925	22299
17	2	2	341544	382240
17	3	3	605471	674654
17	4	4	1144332	1448532
17	5	5	1448532	1459257
18	1	1	22299	23203
18	2	2	382240	397736
18	3	3	674654	700997
18	4	4	1448532	1564362
18	5	5	1564362	1568446
19	1	1	23203	25389
19	2	2	397736	435197
19	3	3	700997	764681
19	4	4	1564362	1844382
19	5	5	1844382	1854255
20	1	1	25389	25956
20	2	2	435197	444902
20	3	3	764681	781179
20	4	4	1844382	1916922
20	5	5	1916922	1919480
21	1	1	25956	27137
21	2	2	444902	465146
21	3	3	781179	815593
21	4	4	1916922	2068242
21	5	5	2068242	2073577
22	1	1	27137	29094
22	2	2	465146	498694
22	3	3	815593	888795
22	4	4	2068242	2319012
22	5	5	2319012	2327854
23	1	1	29094	30284
23	2	2	498694	519094
23	3	3	888795	988500
23	4	4	2319012	2471502
23	5	5	2471502	2476879
24	1	1	30284	31176
24	2	2	519094	534381
24	3	3	988500	1063215
24	4	4	2471502	2585772
24	5	5	2585772	2589801
25	1	1	31176	33511
25	2	2	534381	574399
25	3	3	1063215	1258800
25	4	4	2585772	2884902
25	5	5	2884902	2895449
26	1	1	33511	34558
26	2	2	574399	592347
26	3	3	1258800	1346520
26	4	4	2884902	3019062
26	5	5	3019062	3023792
27	1	1	34558	35627
27	2	2	592347	610661
27	3	3	1346520	1436025
