30
1	1	15
1	2	15
1	3	15
1	4	15
1	5	15
1	6	15
1	7	15
1	8	15
1	9	15
1	10	15
2	1	15
2	2	15
2	3	15
2	4	15
2	5	15
2	6	15
2	7	15
2	8	15
2	9	15
2	10	15
3	1	15
3	2	15
3	3	15
3	4	15
3	5	15
3	6	15
3	7	15
3	8	15
3	9	15
3	10	15
30
1	1	1	0	45079
1	2	2	45079	105184
1	3	3	105184	120211
2	1	1	45079	135236
2	2	2	135236	255445
2	3	3	255445	285498
3	1	1	259200	321809
3	2	2	321809	405288
3	3	3	405288	426158
4	1	1	432000	471131
4	2	2	471131	523305
4	3	3	523305	536349
5	1	1	604800	612627
5	2	2	612627	623062
5	3	3	623062	625671
6	1	1	691200	706853
6	2	2	706853	727723
6	3	3	727723	732941
7	1	1	706853	738158
7	2	2	738158	779898
7	3	3	779898	790333
8	1	1	738158	769463
8	2	2	779898	821638
8	3	3	821638	832073
9	1	1	769463	816420
9	2	2	821638	922210
9	3	3	922210	967210
10	1	1	864000	931500
10	2	2	931500	1021500
10	3	3	1021500	1044000
