HEADER	8	3	6	120	17
ADDITIONALCAPACITYCOST	40000	19000	91000	30000	43000	80000	29000	110000
PRODUCTIONFACTOR	32	23	2	11	37	11	47	3
BOM	1	1	1	27
BOM	1	2	2	36
BOM	1	3	3	53
BOM	1	4	4	19
BOM	1	5	5	17
BOM	1	6	6	5
BOM	2	1	1	13
BOM	2	2	2	29
BOM	2	3	4	55
BOM	2	4	5	18
BOM	2	5	6	3
BOM	3	1	1	17
BOM	3	2	2	46
BOM	3	3	3	34
BOM	3	4	4	28
BOM	3	5	7	16
BOM	3	6	8	11
ORDER	1	2	1	4	1203	2261640
ORDER	2	3	3	5	1111	2443645
ORDER	3	1	3	5	891	75816
ORDER	4	3	3	6	229	155858
ORDER	5	1	4	6	589	49724
ORDER	6	1	4	6	182	19877
ORDER	7	3	2	7	158	515381
ORDER	8	2	4	7	1493	358320
ORDER	9	1	6	8	142	4472
ORDER	10	2	6	9	191	312285
ORDER	11	2	5	9	1445	2268650
ORDER	12	1	7	9	205	20603
ORDER	13	2	7	10	459	323595
ORDER	14	2	6	11	224	181440
ORDER	15	3	9	12	1640	2667952
ORDER	16	3	9	13	179	375883
ORDER	17	1	10	13	194	40164
ORDER	18	2	11	13	166	81340
ORDER	19	2	10	14	704	278080
ORDER	20	1	10	14	1364	153532
ORDER	21	2	13	15	200	225000
ORDER	22	1	11	15	182	13902
ORDER	23	2	12	16	1100	467500
ORDER	24	1	12	16	245	42023
ORDER	25	3	9	16	180	248004
ORDER	26	3	14	17	1117	2734975
ORDER	27	3	14	18	165	301290
ORDER	28	2	16	19	139	92435
ORDER	29	3	16	19	295	719859
ORDER	30	2	16	19	447	885060
ORDER	31	1	16	20	581	47881
ORDER	32	1	18	20	724	127091
ORDER	33	2	17	21	194	199820
ORDER	34	2	19	21	197	322095
ORDER	35	3	16	22	158	233430
ORDER	36	1	17	22	189	19755
ORDER	37	3	21	22	197	62134
ORDER	38	3	19	22	578	187099
ORDER	39	2	20	23	216	35640
ORDER	40	2	20	23	790	1157350
ORDER	41	3	17	23	221	722715
ORDER	42	2	20	23	216	432000
ORDER	43	1	20	23	180	31236
ORDER	44	1	21	24	163	19658
ORDER	45	3	24	25	652	974088
ORDER	46	3	23	25	196	260288
ORDER	47	2	24	26	268	284080
ORDER	48	3	23	27	179	320912
ORDER	49	1	23	27	1100	117183
ORDER	50	1	24	27	666	107093
ORDER	51	1	25	27	228	31622
ORDER	52	1	25	27	243	63659
ORDER	53	3	25	27	189	76867
ORDER	54	2	26	28	209	198550
ORDER	55	3	25	29	445	735007
ORDER	56	2	26	30	231	115500
ORDER	57	3	26	31	190	529872
ORDER	58	3	28	31	1585	5104334
ORDER	59	2	28	31	214	391620
ORDER	60	1	29	32	134	5387
ORDER	61	2	27	32	266	186200
ORDER	62	3	29	33	296	569978
ORDER	63	2	30	34	151	51340
ORDER	64	1	30	35	185	29005
ORDER	65	2	33	35	216	190080
ORDER	66	2	34	36	164	77900
ORDER	67	2	32	37	226	254250
ORDER	68	2	33	37	197	362480
ORDER	69	1	36	38	204	16812
ORDER	70	1	33	38	606	145762
ORDER	71	1	32	38	1158	190086
ORDER	72	2	35	38	263	260370
ORDER	73	2	32	38	236	459020
ORDER	74	1	36	38	163	39098
ORDER	75	3	37	38	190	391096
ORDER	76	1	36	39	178	43769
ORDER	77	2	36	40	199	280590
ORDER	78	1	36	41	184	18123
ORDER	79	2	36	41	169	245895
ORDER	80	3	39	42	234	580718
ORDER	81	1	39	43	198	37676
ORDER	82	3	41	44	1012	1377535
ORDER	83	3	42	45	959	405945
ORDER	84	3	41	45	185	46065
ORDER	85	1	42	45	612	142694
ORDER	86	3	44	46	170	445876
ORDER	87	1	42	47	254	5787
ORDER	88	2	45	48	204	62220
ORDER	89	2	43	48	205	255225
ORDER	90	1	45	48	244	55747
ORDER	91	3	44	48	234	506915
ORDER	92	3	45	49	229	682352
ORDER	93	3	44	49	1404	1083748
ORDER	94	1	46	49	198	48023
ORDER	95	2	46	49	1249	2454285
ORDER	96	3	46	49	158	69505
ORDER	97	2	45	49	189	68040
ORDER	98	3	47	50	191	242551
ORDER	99	3	44	50	234	159261
ORDER	100	3	47	50	1090	2071763
ORDER	101	2	47	50	202	68680
ORDER	102	3	46	50	222	302187
ORDER	103	1	47	51	1431	155321
ORDER	104	3	48	51	801	2034380
ORDER	105	1	48	51	213	56086
ORDER	106	3	48	51	963	1286857
ORDER	107	2	50	52	1391	2093455
ORDER	108	3	48	52	205	672093
ORDER	109	1	48	52	354	61430
ORDER	110	1	49	53	216	51810
ORDER	111	3	53	54	957	619562
ORDER	112	2	49	54	175	109375
ORDER	113	3	52	55	178	373783
ORDER	114	3	51	55	215	287305
ORDER	115	1	53	56	203	45836
ORDER	116	3	52	57	252	173603
ORDER	117	2	57	58	211	384020
ORDER	118	2	56	59	210	349650
ORDER	119	3	57	60	703	2205593
ORDER	120	1	58	60	1280	240128
