30
1	1	15
1	2	15
1	3	15
1	4	15
1	5	15
1	6	15
1	7	15
1	8	15
1	9	15
1	10	15
2	1	15
2	2	15
2	3	15
2	4	15
2	5	15
2	6	15
2	7	15
2	8	15
2	9	15
2	10	15
3	1	15
3	2	15
3	3	15
3	4	15
3	5	15
3	6	15
3	7	15
3	8	15
3	9	15
3	10	15
30
1	1	1	0	90157
1	2	2	90157	120210
1	3	3	120210	150263
2	1	1	90157	270471
2	2	2	270471	330576
2	3	3	330576	390681
3	1	1	270471	395689
3	2	2	395689	437429
3	3	3	437429	479169
4	1	1	432000	510261
4	2	2	510261	536348
4	3	3	536348	562435
5	1	1	604800	620453
5	2	2	620453	625671
5	3	3	625671	630889
6	1	1	691200	722505
6	2	2	722505	732940
6	3	3	732940	743375
7	1	1	722505	785114
7	2	2	785114	805984
7	3	3	805984	826854
8	1	1	785114	847723
8	2	2	847723	877204
8	3	3	877204	937204
9	1	1	847723	1087204
9	2	2	1087204	1177204
9	3	3	1177204	1267204
10	1	1	1087204	1222204
10	2	2	1222204	1267204
10	3	3	1267204	1312204
